model,name
deerma.humidifier.jsq4,米家纯净式智能加湿器
deerma.humidifier.jsq5,Mi
deerma.humidifier.jsqm,米家智能除菌加湿器
deerma.humidifier.jsqs,米家智能除菌加湿器
deerma.humidifier.rz300,德尔玛热蒸馏加湿器
degree.lunar.smh013,37度睡眠监测带SMH013
deye.derh.u20a3,德业除湿机DYD-U20A3
deye.derh.z12a3,德业除湿机DYD-Z12A3
dmaker.airp.swift,米家循环风空气净化器
dmaker.airp.swift2,Xiaomi
dmaker.airpurifier.f20,米家空气净化器F1
dmaker.derh.22ht,Xiaomi
dmaker.derh.22l,米家智能除湿机
dmaker.derh.50l,米家智能除湿机
dmaker.fan.1c,Mi
dmaker.fan.1e,米家直流变频落地扇E
dmaker.fan.p10,米家直流变频落地扇2
dmaker.fan.p11,米家直流变频落地扇2
dmaker.fan.p15,Mi
dmaker.fan.p18,Mi
dmaker.fan.p220,米家直流变频循环落地扇
dmaker.fan.p221,米家智能直流变频循环落地扇
dmaker.fan.p23,米家直流变频两季扇
dmaker.fan.p28,米家智能直流变频循环扇
dmaker.fan.p30,Xiaomi
dmaker.fan.p33,Xiaomi
dmaker.fan.p39,Xiaomi
dmaker.fan.p44,米家智能蒸发式冷风扇
dmaker.fan.p45,米家智能直流变频塔扇2
dmaker.fan.p5c,米家智能直流变频落地扇1X
dmaker.fan.p8,米家落地扇
dmaker.fan.p9,米家直流变频塔扇
dmaker.humidifier.p2,米家纯净式智能加湿器
dooya.curtain.c1,杜亚智能卷帘控制器
dooya.curtain.d1xc,杜亚智能窗帘D1-XC
dooya.curtain.m1,杜亚智能窗帘m1
dooya.curtain.m2,杜亚智能窗帘m2
dooya.curtain.m5,杜亚智能窗帘
dooya.curtain.m7,杜亚智能窗帘M7
dooya.curtain.x7,杜亚智能窗帘X7
dreame.fan.l2146,Xiaomi
dreame.fan.p2018,米家智能无叶净化扇
dreame.light.r2229,米家皮皮灯
dreame.vacuum.mb1808,米家扫拖机器人1C
dreame.vacuum.mc1808,米家扫拖机器人1C
dreame.vacuum.md1808,Xiaomi
dreame.vacuum.p2008,追觅慧目F9
dreame.vacuum.p2009,追觅灵图D9
dreame.vacuum.p2027,追觅W10
dreame.vacuum.p2028,追觅Z10
dreame.vacuum.p2028a,追觅L10
dreame.vacuum.p2029,追觅L10
dreame.vacuum.p2036,大未LDS扫拖一体机器人
dreame.vacuum.p2041,米家扫拖机器人1T
dreame.vacuum.p2041o,Mi
dreame.vacuum.p2114a,Xiaomi
dreame.vacuum.p2114o,米家全能扫拖机器人
dreame.vacuum.p2140,米家扫拖机器人2C
dreame.vacuum.p2140a,米家扫拖机器人2C
dreame.vacuum.p2140o,Mi
dreame.vacuum.p2140p,Mi
dreame.vacuum.p2148o,米家超薄扫拖机器人
dreame.vacuum.p2149o,米家免洗扫拖机器人Pro
dreame.vacuum.p2150a,Mi
dreame.vacuum.p2150b,Mi
dreame.vacuum.p2150o,米家集尘扫拖机器人
dreame.vacuum.p2157,MOVA扫拖机器人L600
dreame.vacuum.p2187,追觅D9
dreame.vacuum.p2259,Dreame
dreame.vacuum.r2104,追觅W10
dreame.vacuum.r2205,追觅
dreame.vacuum.r2209,Xiaomi
dreame.vacuum.r2210,米家免洗扫拖机器人
dreame.vacuum.r2211o,Xiaomi
dreame.vacuum.r2215,追觅X10
dreame.vacuum.r2216o,DreameBot
dreame.vacuum.r2228,追觅S10
dreame.vacuum.r2228o,DreameBot
dreame.vacuum.r2232a,追觅W10s
dreame.vacuum.r2233,追觅S10
dreame.vacuum.r2235,追觅X10
dreame.vacuum.r2246,追觅S10
dreame.vacuum.r2247,追觅S10
dreame.vacuum.r2254,米家全能扫拖机器人
e11035.airer.t10l,JL单功能智能晾衣机
era.diffuser.ws01,智能除味器
era.ysj.b65,博乐宝凉白开净饮机
fawad.airrtc.30011,FOWAD
fawad.airrtc.30012,畅享版VRF空调控制器
fawad.airrtc.40011,FOWAD地暖温控器
fengmi.projector.fm05,米家投影仪
fengmi.projector.l176,峰米激光电视4K
fengmi.projector.l176jp,米家激光投影电视
fengmi.projector.l185,米家激光投影仪
fengmi.projector.l206j,小米激光影院2
fengmi.projector.m045j,米家投影仪青春版2
fengmi.projector.m085j,米家投影仪2
fengmi.projector.m135jp,米家投影仪2
galime.curtain.gp72,叮咚智能平移式开窗器
gerwin.curtain.gm25xm,GM智能窗帘
gerwin.curtain.gm35xm,GM智能窗帘电机
giot.light.aise01,Ai智能情景WIFI双色灯
gtop.light.c02,智悦智能灯
gtop.light.fan03,情景智能风扇灯
hannto.printer.lager,小米激光打印一体机K200
hanyi.vacuum.m7pro,美倾互联网智能扫地机器人
hddz.blanket.zndrt,智能电热毯
hddz.s_lamp.uvl38w,小达杀菌消毒灯WiFi版
hey.relay.h100,微断云控智能控制器
hey.switch.x100,微断云控
hfjh.fishbowl.m100,米家智能鱼缸
hfjh.fishbowl.v2,画法几何C系智能鱼缸
hope.switch.w1,智慧屏开关
horow.toilet.s4,希箭大冲力智能马桶
hsg.fishbowl.hxs01,海享说智能生态缸
htcx.alarm.dt210,航天常兴智慧用电探测器DT-210
huayi.light.fanwy,慧作新风照明风扇吸顶灯
huayi.light.kin2,慧作巨蟹星灯带Pro
hyd.airer.1s,米家智能晾衣机
hyd.airer.gen,邦先生智能晾衣机GEN
hyd.airer.pro,米家智能晾衣机Pro
hyd.airer.pro2,米家智能晾衣机Pro
hyd.airer.znlyj1,米家智能晾衣机
hyd.airer.znlyj2,米家智能晾衣机
hyd.airer.znlyj3,米家智能晾衣机
hyd.airer.znlyj4,米家智能晾衣机
hyd.airer.znlyj5,米家智能晾衣机
ijai.vacuum.v1,米家扫拖机器人
ijai.vacuum.v10,Mi
ijai.vacuum.v13,米家扫拖机器人
ijai.vacuum.v14,米家免洗扫拖机器人
ijai.vacuum.v15,Xiaomi
ijai.vacuum.v17,Xiaomi
ijai.vacuum.v18,米家扫拖机器人3C
ijai.vacuum.v19,Xiaomi
ijai.vacuum.v2,米家扫拖机器人2
ijai.vacuum.v3,Mi
ijomoo.toilet.zs320,九牧智能马桶-ZS320T
iot.plug.socn1,智能插座P1
iot.switch.padw2p,浦安达单相智能保护开关
iot.switch.padwb1,小米/米家设备型号、使用说明书查询工具，米家智能家居产品大全，Xiaomi
isa.camera.hlc7,小米智能摄像机
isa.camera.hlc8,Xiaomi室外摄像机CW400
isa.camera.hlc9a,Xiaomi
