model,name
xiaomi.aircondition.mh1,小米互联网空调C（大1匹|变频|新一级能效）
xiaomi.aircondition.mh2,小米互联网空调C（1.5匹|变频|新一级能效）
xiaomi.aircondition.mh3,小米巨省电空调（大1匹|变频|新三级能效）
xiaomi.aircondition.mh4,米家空调
xiaomi.aircondition.mt0,米家新风空调
xiaomi.aircondition.mt1,小米互联网空调X（大1匹|变频|新一级能效）
xiaomi.aircondition.mt2,小米互联网空调X（1.5匹|变频|新一级能效）
xiaomi.aircondition.mt3,小米柔风空调（大1匹|变频|新一级能效）
xiaomi.aircondition.mt4,小米柔风空调（1.5匹|变频|新一级能效）
xiaomi.aircondition.mt5,小米柔风立式空调（3匹|变频|新一级能效）
xiaomi.aircondition.mt6,米家新风空调
xiaomi.aircondition.mt7,小米巨省电空调
xiaomi.aircondition.mt8,小米巨省电空调
xiaomi.aircondition.t13,小米巨省电空调
xiaomi.airer.1sfun,米家智能晾衣机
xiaomi.airp.cpa4,Xiaomi
xiaomi.airp.mp4,米家空气净化器
xiaomi.airp.va2b,米家空气净化器
xiaomi.airp.va4,米家空气净化器
xiaomi.blanket.mj2,米家智能水暖毯
xiaomi.derh.13l,小米/米家设备型号、使用说明书查询工具，米家智能家居产品大全，Xiaomi
xiaomi.heater.ma7,米家石墨烯踢脚线电暖器
xiaomi.heater.ma8,米家石墨烯暖风机
xiaomi.humidifier.airmx,米家无雾加湿器
xiaomi.humidifier.p1200,米家无雾加湿器3
xiaomi.humidifier.p3,米家无雾加湿器
xiaomi.kettle.mek01,米家智能电热水瓶
xiaomi.light.lamp30,米家立式学习灯
xiaomi.tv.4kh1,小米电视大师
xiaomi.tv.8kh1,小米电视大师
xiaomi.tv.dso1h1,小米电视
xiaomi.tv.eaffh1,小米电视EA系列
xiaomi.tv.eanfv1,小米电视
xiaomi.tv.esh1,小米电视ES系列
xiaomi.tv.fsi1,小米全面屏电视
xiaomi.tv.fsprov1,小米全面屏电视Pro
xiaomi.tv.fsv1,小米全面屏电视
xiaomi.tv.mitv5h1,小米电视5
xiaomi.tv.mitv5proh1,小米电视5Pro
xiaomi.tv.oledh1,小米电视大师65吋OLED
xiaomi.tv.rmaxv1,redmi
xiaomi.tv.rmh1,Redmi电视
xiaomi.tv.rmi1,Redmi电视
xiaomi.tv.tv6h1,小米电视6至尊版
xiaomi.tv.z2oh1,小米电视6
xiaomi.tvbox.4prob1,小米盒子4S
xiaomi.vacuum.b106bk,Xiaomi
xiaomi.vacuum.b106eu,Xiaomi
xiaomi.vacuum.b112,Xiaomi
xiaomi.vacuum.b112gl,Xiaomi
xiaomi.vacuum.c101,米家免洗扫拖机器人
xiaomi.vacuum.c102cn,米家全能扫拖机器人 2
xiaomi.vacuum.c103,米家扫拖机器人3C
xiaomi.vacuum.c104,米家扫拖机器人3
xiaomi.vacuum.c107,米家全能扫拖机器人M30
xiaomi.waterheater.ym05,米家智能双胆电热水器60L
xiaomi.waterpuri.400f4,米家净水器400G
xiaomi.waterpuri.lx33,米家净水器1000G
xiaomi.waterpuri.q1000,米家即热净水器Q1000
xiaomi.wifispeaker.07g,Xiaomi
xiaomi.ysj.gxj,米家即热管线机
xinyue.blanket.n1918,绘睡一键舒眠水暖垫
xjx.toilet.relaxp,小鲸洗一体式智能马桶
xox.toilet.ts,云马智控智能马桶Pro版
xwhzp.diffuser.xwxfj,米家智能调香机
yeelink.bhf_light.v10,Yeelight
yeelink.bhf_light.v11,米家智能浴霸
yeelink.bhf_light.v13,米家智能浴霸Pro
yeelink.bhf_light.v15,Yeelight
yeelink.bhf_light.v17,Yeelight
yeelink.bhf_light.v6,Yeelight
yeelink.bhf_light.v8,Yeelight
yeelink.controller.v2,Yeelight
yeelink.curtain.ctmt1,Yeelight
yeelink.light.bslamp2,米家床头灯2代
yeelink.light.ceil26,Yeelight
yeelink.light.ceil29,Yeelight
yeelink.light.ceil30,Yeelight
yeelink.light.ceil31,Yeelight
yeelink.light.ceil32,Yeelight
yeelink.light.ceil34,Mi
yeelink.light.ceil38,Yeelight
yeelink.light.ceila,Yeelight
yeelink.light.ceilb,Yeelight
yeelink.light.ceilc,Yeelight
yeelink.light.ceiling2,Yeelight
yeelink.light.ceiling22,米家卧室吸顶灯450
yeelink.light.ceiling24,Yeelight
yeelink.light.color1,Yeelight
yeelink.light.color2,Yeelight
yeelink.light.color8,Yeelight
yeelink.light.colora,Yeelight
yeelink.light.colorb,Yeelight
yeelink.light.colorc,Yeelight
yeelink.light.colore,Yeelight
yeelink.light.ctc,Yeelight
yeelink.light.fancl1,Yeelight
yeelink.light.fancl2,Yeelight
yeelink.light.fancl5,Yeelight
yeelink.light.fancl6,Yeelight
yeelink.light.lamp15,Yeelight
yeelink.light.lamp22,米家智能显示器挂灯1S
yeelink.light.lamp27,米家台灯1S
yeelink.light.lamp28,米家台灯1S增强版
yeelink.light.mono6,Mi
yeelink.light.mono7,Yeelight
yeelink.light.mono8,Yeelight
yeelink.light.monoa,Yeelight
yeelink.light.monob,Yeelight
yeelink.light.plate2,Yeelight
yeelink.light.strip8,Yeelight
yeelink.light.stripa,Yeelight
yeelink.light.stripb,Xiaomi
yeelink.motion.ymt02,Yeelight
yeelink.switch.sw1,Yeelight
yeelink.ven_fan.vf3,Yeelight
yeelink.ven_fan.vf5,Yeelight
yh1209.airer.public,勇辉智能晾衣架
youpon.bhf_light.yb0a01,友邦智能浴霸DZ系列
yszh.wopener.bs817,智能推窗器
yszn01.airer.krq01,卡瑞琪ProS1智能晾衣架
yszn01.airer.krq02,卡瑞琪ProS2智能晾衣架
yszn01.airer.ys2103,晾芯M1智能电动晾衣机
ymt.flowerpot.v1,一米田智能种植伴侣
yuemee.sensor_gas.56712,家用可燃气体探测器
yunmi.kettle.v19,米家恒温电水壶2
yunmi.waterpuri.f1,云米互联网净水器Fast3（400G
yunmi.waterpuri.f2,云米互联网净水器Fast3（600G
yunmi.waterpuri.f7,云米泉先互联网净水器
yunmi.waterpuri.lx14,小米净水器H1000G
yunmi.waterpuri.lx20,小米双核净水器1200G
yunmi.waterpuri.lx21,小米即热净水器Q800
yunmi.waterpuri.lx27,米家净水器1000G
yunmi.waterpuri.lx28,米家净水器1200G
yunmi.waterpuri.mg5,云米1秒即热管线机
yunmi.waterpuri.s10,云米泉先互联网净水器
yunmi.waterpuri.s12,云米互联网净水器
yunmi.waterpuri.s14,云米·泉先互联网净水器
yunmi.waterpuri.s20,云米泉先AI净水器Super
yunmi.waterpuri.s31,云米泉先AI
yunmi.waterpuri.x10,云米泉先AI
yunmi.ysj.v1,米家智能冷热饮水机
yyunyi.wopener.yylt,云仪链条开窗器
zair.switch.zsc02w,墨小七智能灯开关控制器
zdeer.foot_bath.zdz9,左点智能足蒸器Z9
zemi.curtain.zm25,Zemismart智能卷帘电机
zhimi.aircondition.ma1,米家互联网空调（三级能效）
zhimi.airfresh.ua1,米家新风机C1
zhimi.airp.cpa4,Xiaomi
zhimi.airp.mb3a,Mi
zhimi.airp.mb4a,Mi
zhimi.airp.mb5,Xiaomi
zhimi.airp.mb5a,Xiaomi
zhimi.airp.mea1,米家消毒空气净化器
zhimi.airp.meb1,Xiaomi
zhimi.airp.mp4,米家空气净化器
zhimi.airp.mp4a,米家空气净化器
zhimi.airp.rma2,米家空气净化器
zhimi.airp.rma3,米家空气净化器
zhimi.airp.rmb1,Xiaomi
zhimi.airp.sa4,米家空气净化器
zhimi.airp.ua1,米家全效空气净化器
zhimi.airp.va2,米家空气净化器
zhimi.airp.va2a,米家空气净化器
zhimi.airp.vb2a,Mi
zhimi.airp.vb4,Xiaomi
zhimi.airpurifier.ma4,米家空气净化器3
zhimi.airpurifier.mb3,Mi
zhimi.airpurifier.mb4,Mi
zhimi.airpurifier.oa1,米家桌面空气净化器
zhimi.airpurifier.rma1,米家空气净化器
zhimi.airpurifier.va1,米家空气净化器Pro
zhimi.airpurifier.vb2,Mi
zhimi.airpurifier.xa1,米家空气净化器X
zhimi.airpurifier.za1,Smartmi
zhimi.fan.fa1,米家直流变频循环扇
zhimi.fan.fa2,智米直流变频空气循环扇2
zhimi.fan.fb1,Mi
zhimi.fan.v2,智米直流变频落地扇
zhimi.fan.za5,智米直流变频落地扇3
zhimi.heater.ma2,米家智能电暖器
zhimi.heater.ma2a,米家智能电暖器
zhimi.heater.ma3,米家踢脚线电暖器E
zhimi.heater.ma4,米家石墨烯智能电暖器
zhimi.heater.ma5,米家石墨烯折叠踢脚线电暖器
zhimi.heater.ma6,米家石墨烯踢脚线电暖器
zhimi.heater.mc2,Mi
zhimi.heater.mc2a,Mi
zhimi.heater.na1,智米智能暖风机
zhimi.heater.nb1,Smartmi
zhimi.heater.za2,智米电暖器智能版1S
zhimi.heater.za3,智米智能GR-H电暖器
zhimi.heater.zb1,Smartmi
zhimi.heater.zb1a,Smartmi
zhimi.humidifier.ca4,智米纯净型加湿器2
zhimi.humidifier.ca6,Smartmi
zhimi.humidifier.cb1a,Smartmi
zhimi.humidifier.va1,智米除菌加湿器1S
zhimi.vacuum.ga1,Lydsto惯导扫拖机器人G1
zhimi.vacuum.hd1,Lydsto惯导扫拖机器人G2
zhimi.vacuum.ga1,Lydsto惯导扫拖机器人G1
zhimi.vacuum.w2,Lydsto自清洁扫地机W2
zhimi.vacuum.wa1,智米洗地机器人开拓者A1
zhimi.vacuum.xa1,Lydsto
zhimi.vacuum.xa2,Lydsto
zhimi.vacuum.xa3,Lydsto扫拖一体机S1
zhimi.toilet.pa2,智米智能马桶一体机
zhimi.waterpuri.ma1,小米净水器H400G
zimi.waterheater.h01,米家智能零冷水燃气热水器16L
zimi.waterheater.h03,米家智能小厨宝7L
zinguo.etool.sc01,智能温控器
zinguo.motor.mk01,卷帘门控制器
zinguo.switch.b3,两线浴霸开关
zinguo.switch.b5m,智能浴霸开关
zjaupu.airer.l558,奥普晾衣机L558
zs1001.mosq.s12pro,质零数显电蚊拍-Wifi款
zxzm.light.j01,京东京造吸顶灯
090615.switch.switch01,一键智能开关(WIFI)
090615.switch.switch02,二键智能开关(WIFI)
090615.switch.switch03,三键智能开关(WIFI)
090615.switch.xswitch01,PTX一键开关(WIFI)
090615.switch.xswitch02,PTX二键开关(WIFI)
090615.switch.xswitch03,PTX三键开关(WIFI)
aice.motor.kzmu3,科掌门智能卷帘门控制器
air.fan.ca23ad9,艾美特空气循环扇
bj352.waterpuri.s100cm,352净水器S100
cgllc.airmonitor.s1,青萍空气检测仪
chuangmi.camera.ipc019,小米智能摄像机
chuangmi.plug.hmi205,Mi
chuangmi.plug.hmi206,Mi
chuangmi.plug.hmi208,米家智能插座蓝牙网关版
chuangmi.plug.m1,米家智能插座基础版
chuangmi.plug.m3,小米米家智能插座WiFi版
chuangmi.plug.v1,小米智能插座
chuangmi.plug.v3,米家智能插座增强版
chunmi.cooker.eh1,米家小饭煲
chunmi.ihcooker.chefnic,米家电磁炉套装-锋味定制版
chunmi.ihcooker.v1,米家电磁炉
chunmi.microwave.n23l01,米家智能微烤一体机
deerma.humidifier._base,小米/米家设备型号、使用说明书查询工具，米家智能家居产品大全，Xiaomi
deerma.humidifier.jsq,Mi
deerma.humidifier.jsq1,米家智能除菌加湿器
deerma.humidifier.mjjsq,米家智能除菌加湿器
dmaker.fan.p5,米家直流变频落地扇1X
fawad.airrtc.fwd20011,FOWAD
hfjh.fishbowl.v1,画法几何智能鱼缸
isa.camera.hlc6,小米智能摄像机
ksmb.walkingpad.v1,WalkingPad走步机
lumi.acpartner.mcn02,米家空调伴侣2
lumi.acpartner.v1,Aqara 空调伴侣
lumi.acpartner.v2,米家空调伴侣
lumi.acpartner.v3,Aqara
lumi.airer.acn01,Aqara智能晾衣机
midea.aircondition.v1,美的空调-i青春
midea.aircondition.xa1,美的空调
midea.aircondition.xa2,美的空调
mijia.camera.v3,小米米家智能摄像机
minij.washer.v5,米家互联网洗烘一体机Pro
minij.washer.v8,米家互联网洗烘一体机
minij.washer.v14,米家互联网洗烘一体机1C
mmgg.feeder.petfeeder,米家智能宠物喂食器
nwt.derh.wdh318efw1,NWT
opple.light.bydceiling,OPPLE欧普照明智能灯
opple.light.fanlight,OPPLE
ows.towel_w.mj1x0,欧伟士智能电热毛巾架
philips.light.bceiling1,飞利浦智睿吸顶灯
philips.light.bulb,飞利浦智睿球泡灯
philips.light.cbulb,米家飞利浦彩光灯泡
philips.light.downlight,飞利浦智睿筒灯
philips.light.moonlight,飞利浦智睿床头灯
philips.light.sread1,飞利浦智睿台灯二代
philips.light.sread2,米家飞利浦台灯2S
roborock.vacuum._base,小米/米家设备型号、使用说明书查询工具，米家智能家居产品大全，Xiaomi
roborock.vacuum.m1s,米家扫地机器人1S
roborock.vacuum.a01,石头扫地机器人
roborock.vacuum.a08,Roborock
roborock.vacuum.a09,石头扫地机器人T7
roborock.vacuum.a10,Roborock
roborock.vacuum.a11,石头扫地机器人T7
roborock.vacuum.a14,石头扫拖机器人
roborock.vacuum.a15,Roborock
roborock.vacuum.a19,Roborock
roborock.vacuum.a23,石头扫拖机器人
roborock.vacuum.a26,石头自清洁扫拖机器人G10S
roborock.vacuum.a27,Roborock
roborock.vacuum.a29,石头自清洁扫拖机器人G10
roborock.vacuum.a30,Roborock
roborock.vacuum.a34,Roborock
roborock.vacuum.a37,石头扫拖机器人T8
roborock.vacuum.a38,Roborock
roborock.vacuum.a40,Roborock
roborock.vacuum.a46,石头自清洁扫拖机器人G10S
roborock.vacuum.a50,小米/米家设备型号、使用说明书查询工具，米家智能家居产品大全，Xiaomi
roborock.vacuum.a51,Roborock
roborock.vacuum.a52,石头扫拖机器人T8
roborock.vacuum.a62,Roborock
roborock.vacuum.a64,石头自清洁扫拖机器人
roborock.vacuum.a65,Roborock
roborock.vacuum.a66,石头自清洁扫拖机器人
roborock.vacuum.a69,石头自清洁扫拖机器人G20
roborock.vacuum.a70,Roborock
roborock.vacuum.a74,石头自清洁扫拖机器人
roborock.vacuum.a75,Roborock
roborock.vacuum.a76,石头自清洁扫拖机器人G10S
roborock.vacuum.c1,小瓦扫地机器人青春版
roborock.vacuum.e2,小瓦扫地机器人规划版
roborock.vacuum.p5,石头扫地机器人P5
roborock.vacuum.s4,Roborock
roborock.vacuum.s5,石头扫地机器人S5
roborock.vacuum.s5e,Roborock
roborock.vacuum.s6,Roborock
roborock.vacuum.t4,石头扫地机器人T4
roborock.vacuum.t6,石头扫地机器人T6
rockrobo.vacuum.v1,米家扫地机器人
shuii.humidifier.jsq002,零雾低温蒸发型加湿器(Ⅱ代）
skyrc.pet_waterer.fre1,湃妮智能宠物饮水机
tinymu.toiletlid.v1,小沐智能马桶盖
viomi.fridge.p1,云米互联网冰箱iLive（对开门
viomi.fridge.m1,米家风冷十字四门冰箱
viomi.juicer.v1,米家高速搅拌机（破壁料理机）
yunmi.plmachine.mg2,云米1秒即热管线机
scishare.coffee.s1102,心想智能胶囊咖啡机
viomi.oven.so1,云米互联网蒸烤一体机King（嵌入式）
viomi.dishwasher.v01,云米互联网洗碗机（8套嵌入式）
viomi.health_pot.v1,米家多功能电煮壶
viomi.hood.v1,米家互联网烟灶
viomi.vacuum.v7,米家扫拖机器人
viomi.vacuum.v8,Mi
viomi.waterheater.e1,云米互联网电热水器1A（60L）
viomi.waterheater.u1,云米互联网燃气热水器1A（13L）
viomi.waterheater.u7,云米互联网燃气热水器Zero（16L零冷水）
viomi.waterheater.u8,云米互联网燃气热水器Zero（18L
viomi.waterheater.u11,云米互联网燃气热水器Zero（13L零冷水
viomi.waterheater.u12,云米互联网燃气热水器Zero（16L零冷水
xiaomi.aircondition.ma2,米家互联网空调C1（1.5匹/变频/一级能效）
xiaomi.aircondition.ma4,米家互联网立式空调C1（2匹/定频）
xiaomi.aircondition.ma5,米家互联网立式空调C1（2匹/变频/一级能效）
xiaomi.aircondition.ma6,米家互联网空调C1（1.5匹/定频/三级能效）
xjx.toilet.pro,小鲸洗智能坐便盖Pro版
xjx.toilet.relax,小鲸洗一体式智能马桶Relax
yeelink.bhf_light.v1,Yeelight智能浴霸
yeelink.bhf_light.v2,Yeelight智能浴霸
yeelink.bhf_light.v3,Yeelight
yeelink.bhf_light.v5,米家智能浴霸Pro
yeelink.bhf_light.v6,Yeelight
yeelink.light.bslamp1,米家床头灯
yeelink.light.bslamp2,米家床头灯2代
yeelink.light.bslamp3,Yeelight
yeelink.light.color1,Yeelight
yeelink.light.color2,Yeelight
yeelink.light.color3,Mi
yeelink.light.color4,Yeelight
yeelink.light.color5,Mi
yeelink.light.color7,Mi
yeelink.light.color8,Yeelight
yeelink.light.ceiling1,Yeelight
yeelink.light.ceiling2,Yeelight
yeelink.light.ceiling3,Yeelight
yeelink.light.ceiling4,Yeelight
yeelink.light.ceiling5,米家LED吸顶灯
yeelink.light.ceiling6,Yeelight
yeelink.light.ceiling7,Yeelight
yeelink.light.ceiling8,Yeelight
yeelink.light.ceiling9,Yeelight
yeelink.light.ceiling10,Yeelight
yeelink.light.ceiling11,Yeelight
yeelink.light.ceiling12,Yeelight
yeelink.light.ceiling13,Yeelight
yeelink.light.ceiling14,Yeelight
yeelink.light.ceiling15,Yeelight
yeelink.light.ceiling16,Yeelight
yeelink.light.ceiling17,Yeelight
yeelink.light.ceiling18,Yeelight
yeelink.light.ceiling19,Yeelight
yeelink.light.ceiling20,Yeelight
yeelink.light.ceiling21,米家客厅吸顶灯
yeelink.light.ceiling22,米家卧室吸顶灯450
yeelink.light.ceiling23,米家卧室吸顶灯350
yeelink.light.ceiling24,Yeelight
yeelink.light.ceil27,Yeelight
yeelink.light.lamp1,米家台灯
yeelink.light.lamp2,米家台灯Pro
yeelink.light.lamp3,Yeelight
yeelink.light.lamp4,米家台灯
yeelink.light.lamp5,Yeelight
yeelink.light.lamp7,Yeelight
yeelink.light.lamp9,Yeelight
yeelink.light.lamp10,Yeelight
yeelink.light.mono1,Yeelight
yeelink.light.panel1,Yeelight
yeelink.light.panel3,Yeelight
yeelink.light.strip1,Yeelight彩光灯带
yeelink.light.strip2,Yeelight彩光灯带（延长版）
yeelink.light.strip4,Yeelight
yeelink.light.strip6,Yeelight
yeelink.light.strip8,Yeelight
yeelink.ven_fan.vf1,Yeelight
yeelink.mirror.bm1,diiib
yeelink.ven_fan.vf3,Yeelight
yeelink.ven_fan.vf5,Yeelight
yunmi.waterpuri.lx5,小米净水器1A/400G增强版
yunmi.waterpuri.lx7,小米净水器500G/500G增强版
yunmi.waterpuri.lx9,小米净水器
yunmi.waterpuri.lx11,小米净水器C1（三出水）
yyunyi.wopener.yypy24,云仪平移开窗器
zhimi.aircondition.ma1,米家互联网空调（三级能效）
zhimi.aircondition.ma2,小米/米家设备型号、使用说明书查询工具，米家智能家居产品大全，Xiaomi
zhimi.aircondition.ma3,米家互联网空调（三级能效）
zhimi.aircondition.ma4,米家互联网空调（一级能效）
zhimi.aircondition.za1,智米变频空调2（1.5匹
zhimi.airmonitor.v1,米家PM2.5检测仪
zhimi.airfresh.va2,智米新风系统
zhimi.airfresh.va4,智米新风系统电辅热版
zhimi.airpurifier._base,小米/米家设备型号、使用说明书查询工具，米家智能家居产品大全，Xiaomi
zhimi.airpurifier.m1,小米空气净化器2代
zhimi.airpurifier.m2,小米空气净化器2代
zhimi.airpurifier.ma2,小米米家空气净化器2S
zhimi.airpurifier.mc1,Mi
zhimi.airpurifier.mc2,Mi
zhimi.airpurifier.sa2,米家空气净化器MAX
zhimi.airpurifier.v1,小米空气净化器
zhimi.airpurifier.v2,小米空气净化器
zhimi.airpurifier.v3,小米空气净化器
zhimi.airpurifier.v5,小米空气净化器
zhimi.airpurifier.v6,米家空气净化器Pro
zhimi.airpurifier.v7,小米空气净化器Pro
zhimi.fan.sa1,米家直流变频落地扇
zhimi.fan.v2,智米直流变频落地扇
zhimi.fan.v3,智米直流变频落地扇
zhimi.fan.za1,智米自然风风扇
zhimi.fan.za3,智米直流变频落地扇2
zhimi.fan.za4,智米直流变频落地扇2S
zhimi.humidifier.ca1,智米纯净型加湿器
zhimi.humidifier.cb1,Smartmi
zhimi.humidifier.cb2,Smartmi
zhimi.humidifier.v1,智米除菌加湿器
qmi.powerstrip.v1,青米智能插排
zimi.powerstrip.v2,米家智能插线板
